"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"SW74","CHERRYMX_5PIN","10828.125mil","2312.5mil","10828.125mil","2312.5mil","10978.125mil","2212.5mil","T","180.00","R-Shift"
"SW73","CHERRYMX_5PIN","10828.125mil","1562.5mil","10828.125mil","1562.5mil","10978.125mil","1462.5mil","T","180.00","R-Alt"
"SW72","CHERRYMX_5PIN","15234.375mil","4562.5mil","15234.375mil","4562.5mil","15384.375mil","4462.5mil","T","180.00","Num. ("
"SW71","CHERRYMX_5PIN","9234.375mil","4562.5mil","9234.375mil","4562.5mil","9384.375mil","4462.5mil","T","180.00","ß"
"SW70","CHERRYMX_5PIN","9609.375mil","3812.5mil","9609.375mil","3812.5mil","9759.375mil","3712.5mil","T","180.00","Ü"
"SW69","CHERRYMX_5PIN","9046.875mil","3062.5mil","9046.875mil","3062.5mil","9196.875mil","2962.5mil","T","180.00","Ö"
"SW68","CHERRYMX_5PIN","9421.875mil","2312.5mil","9421.875mil","2312.5mil","9571.875mil","2212.5mil","T","180.00","-"
"SW67","CHERRYMX_5PIN","9890.625mil","1562.5mil","9890.625mil","1562.5mil","10040.625mil","1462.5mil","T","180.00","R-Amiga"
"SW66","CHERRYMX_5PIN","10640.625mil","5687.5mil","10640.625mil","5687.5mil","10790.625mil","5587.5mil","T","180.00","F10"
"SW65","CHERRYMX_5PIN","8484.375mil","4562.5mil","8484.375mil","4562.5mil","8634.375mil","4462.5mil","T","180.00","0"
"SW64","CHERRYMX_5PIN","8859.375mil","3812.5mil","8859.375mil","3812.5mil","9009.375mil","3712.5mil","T","180.00","P"
"SW63","CHERRYMX_5PIN","8296.875mil","3062.5mil","8296.875mil","3062.5mil","8446.875mil","2962.5mil","T","180.00","L"
"SW62","CHERRYMX_5PIN","8671.875mil","2312.5mil","8671.875mil","2312.5mil","8821.875mil","2212.5mil","T","180.00","."
"SW61","CHERRYMX_5PIN","15984.375mil","4562.5mil","15984.375mil","4562.5mil","16134.375mil","4462.5mil","T","180.00","Num. )"
"SW60","CHERRYMX_5PIN","9703.125mil","5687.5mil","9703.125mil","5687.5mil","9853.125mil","5587.5mil","T","180.00","F9"
"SW59","CHERRYMX_5PIN","7734.375mil","4562.5mil","7734.375mil","4562.5mil","7884.375mil","4462.5mil","T","180.00","9"
"SW58","CHERRYMX_5PIN","8109.375mil","3812.5mil","8109.375mil","3812.5mil","8259.375mil","3712.5mil","T","180.00","O"
"SW57","CHERRYMX_5PIN","7546.875mil","3062.5mil","7546.875mil","3062.5mil","7696.875mil","2962.5mil","T","180.00","K"
"SW56","CHERRYMX_5PIN","7921.875mil","2312.5mil","7921.875mil","2312.5mil","8071.875mil","2212.5mil","T","180.00",","
"SW55","CHERRYMX_5PIN","16734.375mil","1562.5mil","16734.375mil","1562.5mil","16884.375mil","1462.5mil","T","180.00","Num. ."
"SW54","CHERRYMX_5PIN","8765.625mil","5687.5mil","8765.625mil","5687.5mil","8915.625mil","5587.5mil","T","180.00","F8"
"SW53","CHERRYMX_5PIN","6984.375mil","4562.5mil","6984.375mil","4562.5mil","7134.375mil","4462.5mil","T","180.00","8"
"SW52","CHERRYMX_5PIN","7359.375mil","3812.5mil","7359.375mil","3812.5mil","7509.375mil","3712.5mil","T","180.00","I"
"SW51","CHERRYMX_5PIN","6796.875mil","3062.5mil","6796.875mil","3062.5mil","6946.875mil","2962.5mil","T","180.00","J"
"SW50","CHERRYMX_5PIN","7171.875mil","2312.5mil","7171.875mil","2312.5mil","7321.875mil","2212.5mil","T","180.00","M"
"SW49","CHERRYMX_5PIN","16734.375mil","2312.5mil","16734.375mil","2312.5mil","16884.375mil","2212.5mil","T","180.00","Num. 3"
"SW48","CHERRYMX_5PIN","7828.125mil","5687.5mil","7828.125mil","5687.5mil","7978.125mil","5587.5mil","T","180.00","F7"
"SW47","CHERRYMX_5PIN","6234.375mil","4562.5mil","6234.375mil","4562.5mil","6384.375mil","4462.5mil","T","180.00","7"
"SW46","CHERRYMX_5PIN","6609.375mil","3812.5mil","6609.375mil","3812.5mil","6759.375mil","3712.5mil","T","180.00","U"
"SW45","CHERRYMX_5PIN","6046.875mil","3062.5mil","6046.875mil","3062.5mil","6196.875mil","2962.5mil","T","180.00","H"
"SW44","CHERRYMX_5PIN","6421.875mil","2312.5mil","6421.875mil","2312.5mil","6571.875mil","2212.5mil","T","180.00","N"
"SW43","CHERRYMX_5PIN","16734.375mil","3812.5mil","16734.375mil","3812.5mil","16884.375mil","3712.5mil","T","180.00","Num. 9"
"SW42","CHERRYMX_5PIN","6890.625mil","5687.5mil","6890.625mil","5687.5mil","7040.625mil","5587.5mil","T","180.00","F6"
"SW41","CHERRYMX_5PIN","5484.375mil","4562.5mil","5484.375mil","4562.5mil","5634.375mil","4462.5mil","T","180.00","6"
"SW40","CHERRYMX_5PIN","5859.375mil","3812.5mil","5859.375mil","3812.5mil","6009.375mil","3712.5mil","T","180.00","Y"
"SW39","CHERRYMX_5PIN","5296.875mil","3062.5mil","5296.875mil","3062.5mil","5446.875mil","2962.5mil","T","180.00","G"
"SW38","CHERRYMX_5PIN","5671.875mil","2312.5mil","5671.875mil","2312.5mil","5821.875mil","2212.5mil","T","180.00","B"
"SW37","CHERRYMX_5PIN","16734.375mil","4562.5mil","16734.375mil","4562.5mil","16884.375mil","4462.5mil","T","180.00","Num. /"
"SW36","CHERRYMX_5PIN","5578.125mil","5687.5mil","5578.125mil","5687.5mil","5728.125mil","5587.5mil","T","180.00","F5"
"SW35","CHERRYMX_5PIN","4734.375mil","4562.5mil","4734.375mil","4562.5mil","4884.375mil","4462.5mil","T","180.00","5"
"SW34","CHERRYMX_5PIN","5109.375mil","3812.5mil","5109.375mil","3812.5mil","5259.375mil","3712.5mil","T","180.00","T"
"SW33","CHERRYMX_5PIN","4546.875mil","3062.5mil","4546.875mil","3062.5mil","4696.875mil","2962.5mil","T","180.00","F"
"SW32","CHERRYMX_5PIN","4921.875mil","2312.5mil","4921.875mil","2312.5mil","5071.875mil","2212.5mil","T","180.00","V"
"SW31","CHERRYMX_5PIN","17484.375mil","1937.5mil","17484.375mil","1937.5mil","17634.375mil","1837.5mil","T","180.00","Num. Enter"
"SW30","CHERRYMX_5PIN","4640.625mil","5687.5mil","4640.625mil","5687.5mil","4790.625mil","5587.5mil","T","180.00","F4"
"SW29","CHERRYMX_5PIN","3984.375mil","4562.5mil","3984.375mil","4562.5mil","4134.375mil","4462.5mil","T","180.00","4"
"SW28","CHERRYMX_5PIN","4359.375mil","3812.5mil","4359.375mil","3812.5mil","4509.375mil","3712.5mil","T","180.00","R"
"SW27","CHERRYMX_5PIN","3796.875mil","3062.5mil","3796.875mil","3062.5mil","3946.875mil","2962.5mil","T","180.00","D"
"SW26","CHERRYMX_5PIN","4171.875mil","2312.5mil","4171.875mil","2312.5mil","4321.875mil","2212.5mil","T","180.00","C"
"SW25","CHERRYMX_5PIN","17484.375mil","3812.5mil","17484.375mil","3812.5mil","17634.375mil","3712.5mil","T","180.00","Num. -"
